Zones,Zone Name,Format: BL;S;P;KD(Y/N);KDM,,,,,
1,Lower Legs,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Foot,0;40;2;N;0,0;60;2;N;0,0;100;5;N;0,10;120;6;Y;1,100;500;8;Y;-100
,2;3;4,Shin,0;40;2;N;0,0;60;2;Y;2,0;120;6;Y;0,100;140;9;Y;-3,200;600;12;Y;-100
,5;6,Knee,0;40;2;N;0,0;60;2;N;0,0;360;8;N;0,150;180;10;Y;-5,400;600;12;Y;-100
2,Upper Legs ,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Knee,0;40;2;N;0,0;60;2;N;0,0;360;8;N;0,150;180;10;Y;-5,400;600;12;Y;-100
,2;3;4;5,Thigh,20;40;2;N;0,40;100;3;Y;2,60;120;4;Y;0,150;150;9;Y;-4,400;800;12;Y;-100
,6,Hip,0;40;2;N;0,40;120;4;Y;2,40;150;5;Y;-2,400;240;10;Y;-100,1000;1000;14;Y;-100
3,Mid-Body,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Hip,0;40;2;N;0,40;120;4;Y;2,40;150;5;Y;-2,400;240;10;Y;-100,1000;1000;14;Y;-100
,2;3,Stomach,0;60;4;N;0,20;120;4;N;0,20;160;7;N;0,400;180;12;N;0,800;1000;15;Y;-100
,4;5,Ribcage,0;40;2;N;0,20;120;4;N;0,20;160;7;N;0,300;180;11;N;0,1000;1000;100;Y;-100
,6,Forearm,0;40;2;N;0,20;60;4;N;0,20;120;4;N;0,20;180;7;N;0,600;600;14;Y;-100
4,Overhand,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2,Shoulder,0;20;3;N;0,20;120;4;N;0,100;150;6;N;0,400;180;11;N;0,1200;600;14;Y;-100
,3,Chest,0;40;2;N;0,20;120;4;N;0,100;150;6;N;0,600;180;11;N;0,2000;1000;100;Y;-100
,4,Neck,0;60;2;N;0,200;130;5;N;0,300;180;8;N;0,2000;300;14;N;0,2000;1000;100;Y;-100
,5,Face,0;60;2;N;0,40;100;3;N;2,120;220;6;N;0,600;420;10;N;0,2000;1000;100;Y;-100
,6,Skull,0;60;2;N;0,40;220;5;N;0,100;240;8;N;0,600;1000;20;N;0,2000;1000;100;Y;-100
5,Vertical Down,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2;3,Skull,0;60;2;N;0,80;100;3;N;2,120;220;6;N;0,600;420;10;N;0,2000;1000;100;Y;-100
,4,Face,10;60;2;N;0,80;220;5;N;0,100;300;8;N;0,600;1000;20;N;0,2000;1000;100;Y;-100
,5;6,Shoulder,0;20;3;N;0,40;120;4;N;0,100;150;6;N;0,200;180;11;N;0,900;600;14;Y;-100
6,Vertical Up,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2;3,Thigh,0;40;2;N;0,80;100;3;Y;2,120;120;4;Y;0,300;150;9;Y;-4,800;800;12;Y;-100
,4,Pelvis,0;80;2;N;0,80;220;6;N;0,100;420;10;N;0,600;1000;20;Y;-10,2000;1000;100;Y;-100
,5,Stomach,0;40;4;N;0,40;120;4;N;0,40;160;4;N;0,800;180;12;N;0,1500;1000;15;Y;-100
,6,Chest,0;20;2;N;0,40;120;4;N;0,100;150;6;N;0,600;180;11;N;0,2000;1000;100;Y;-100
7,Arms,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Hand,0;60;2;N;0,0;60;2;N;0,0;100;5;N;0,20;120;6;N;0,200;500;8;N;0
,2;3,Forearm,0;40;2;N;0,40;60;4;N;0,40;120;4;N;0,40;180;7;N;0,1200;600;14;N;0
,4,Elbow,0;60;2;N;0,0;60;2;N;0,0;200;6;N;0,300;180;10;N;0,800;600;12;N;0
,5;6,Shoulder,0;40;3;N;0,40;120;4;N;0,80;120;6;N;0,400;180;11;N;0,1200;600;14;N;0
