Zones,Zone Name,Format: BL;S;P;KD(Y/N);KDM,,,,,
1,Lower Legs,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Foot,0;60;4;N;0,0;80;5;N;0,40;100;6;N;0,80;250;7;Y;-1,80;250;7;Y;-100
,2;3;4,Shin,0;60;4;N;0,20;100;6;N;0,40;120;7;N;0,80;150;8;Y;-2,100;250;8;Y;-100
,5;6,Knee,0;60;4;N;0,0;100;6;N;0,60;120;7;N;0,90;250;8;Y;-2,100;350;10;Y;-5
2,Upper Legs ,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Knee,0;60;4;N;0,0;100;6;N;0,60;120;7;N;0,90;250;8;Y;-2,100;350;10;Y;-5
,2;3;4;5,Thigh,0;60;2;N;0,20;80;4;N;0,40;100;5;N;0,80;120;8;Y;-2,100;240;7;Y;-2
,6,Hip,0;60;3;N;0,20;80;5;N;0,60;120;9;N;0,120;250;8;Y;-2,100;300;9;Y;-100
3,Pelvic Region,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2,Hip,0;60;3;N;0,20;80;5;N;0,60;120;9;N;0,120;250;8;Y;-2,100;300;9;Y;-100
,3;4,Pelvis,20;60;4;N;0,140;120;6;N;0,220;140;9;N;0,400;180;11;N;0,800;250;6;N;0
,5;6,Stomach,20;60;4;N;0,140;120;6;N;0,220;140;7;N;0,400;180;9;N;0,800;250;6;N;0
4,Abdomen,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2;3;4;5,Stomach,20;60;4;N;0,140;120;6;N;0,220;140;7;N;0,400;180;9;N;0,800;250;6;N;0
,6,Troso Glance,20;60;4;N;0,4;80;6;N;0,4;80;6;N;0,4;80;6;N;0,4;80;6;N;0
5,Chest,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2,Ribcage,20;60;4;N;0,220;140;7;N;0,800;220;12;N;0,1200;440;15;N;0,1800;800;10;N;0
,3;4;5;6,Chest,20;60;4;N;0,140;120;6;N;0,600;180;8;N;0,1800;800;10;N;0,200000;1000;100;Y;-100
6,Head,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1;2,Throat,80;20;4;N;0,140;60;6;N;0,600;90;8;N;0,1200;120;10;N;0,200000;1000;100;Y;-100
,3;4,Face,20;60;4;N;0,120;100;5;N;0,300;180;6;N;0,200;220;7;N;0,800;1000;100;Y;-100
,5;6,Skull,20;60;4;N;0,140;220;6;N;0,250;520;7;N;0,1400;620;8;N;0,200000;1000;100;Y;-100
7,Arms,,,,,,
,Sub Zone,Sub Zone Name,Level 1,Level 2,Level 3,Level 4,Level 5
,1,Hand,0;60;3;N;0,40;80;4;N;0,100;180;5;N;0,300;180;6;N;0,400;400;8;N;0
,2;3,Forearm,0;40;2;N;0,40;60;4;N;0,70;150;3;N;0,300;180;6;N;0,500;400;8;N;0
,4,Elbow,0;100;3;N;0,40;120;4;N;0,80;150;5;N;0,400;180;8;N;0,600;400;8;N;0
,5;6,Shoulder,0;100;3;N;0,40;120;4;N;0,100;130;4;N;0,400;180;6;N;0,800;400;8;N;0
